lfdn;external_lfdn;tester;dispcode;lastpage;quality;duration;v_218;v_41;v_42;v_46;v_47;v_48;v_49;v_50;v_51;v_52;v_53;v_54;v_55;v_233;v_243;v_223;v_224;v_225;v_226;v_227;v_228;v_229;v_230;v_231;v_232;v_244;v_245;v_246;v_247;v_248;v_249;v_250;v_251;v_252;v_253;v_254;v_255;v_256;v_257;v_258;v_259;v_260;v_261;v_262;v_263;v_264;v_265;v_266;v_267;v_274;v_275;v_276;v_277;v_278;v_279;v_280;v_281;v_282;v_283;v_284;v_285;v_286;v_288;v_289;v_290;v_291;v_292;v_293;v_294;v_295;v_296;v_297;v_298;v_299;v_300;v_301;v_302;v_303;v_304;v_305;v_309;v_310;v_311;v_312;v_313;v_314;v_315;v_316;v_317;v_318;v_319;v_320;v_321;v_322;v_323;v_324;v_325;v_326;v_327;v_328;v_329;v_330;v_331;v_332;v_333;v_334;v_335;v_336;v_337;v_338;v_339;v_78;v_79;v_80;v_81;v_82;v_83;v_84;v_85;v_86;v_89;v_90;v_91;v_92;v_94;v_95
3;0;0;31;7015342;-77;2713;0;-77;6;-77;7;-77;-77;-77;-77;6;-77;-77;-77;-77;-77;-77;-77;7;-77;7;-77;-77;-77;-77;7;-77;7;-77;-77;-77;5;-77;-77;-77;-77;7;-77;-77;-77;-77;6;-77;-77;-77;7;-77;6;-77;-77;1;1;1;2;1;2;1;1;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;1;1;1;1;2;1;2;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1
4;0;0;31;7015342;-77;198;0;-77;5;-77;6;-77;-77;-77;-77;-77;-77;5;-77;-77;-77;-77;-77;-77;4;6;-77;-77;5;-77;-77;-77;5;-77;-77;3;-77;6;-77;-77;-77;-77;-77;-77;-77;-77;6;-77;-77;6;-77;6;-77;-77;6;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;1;2;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1
5;0;0;31;7015342;-77;424;0;-77;6;7;-77;-77;7;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;5;-77;7;-77;7;-77;-77;7;-77;6;-77;-77;-77;6;-77;-77;-77;-77;-77;-77;-77;-77;-77;7;-77;6;-77;7;-77;7;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;2;1;1;1;1;1;1;1;2;2;1;1;2;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1
6;0;0;31;7015342;-77;235;0;-77;-77;-77;-77;5;-77;-77;6;-77;-77;-77;6;4;-77;-77;5;-77;-77;-77;-77;4;-77;-77;-77;-77;-77;-77;-77;-77;-77;5;-77;4;-77;-77;4;-77;3;-77;6;-77;5;3;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;2;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1
7;0;0;31;7015342;-77;161;0;-77;-77;-77;4;-77;-77;-77;-77;-77;2;-77;2;-77;2;-77;-77;5;-77;6;-77;-77;-77;-77;-77;-77;1;-77;-77;4;-77;4;-77;-77;-77;-77;-77;-77;-77;-77;2;-77;-77;5;-77;-77;4;3;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;1;2;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1
8;0;0;31;7015342;-77;266;0;-77;4;-77;-77;-77;4;6;-77;-77;-77;-77;-77;-77;-77;5;-77;-77;-77;-77;-77;-77;5;-77;6;-77;5;-77;-77;-77;-77;-77;5;-77;4;-77;-77;-77;-77;5;-77;3;-77;5;-77;-77;-77;6;-77;2;2;1;2;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1
9;0;0;31;7015342;-77;287;0;-77;-77;4;-77;2;-77;-77;6;-77;-77;-77;-77;2;-77;-77;-77;-77;-77;-77;-77;-77;4;-77;5;-77;-77;5;-77;-77;1;7;-77;-77;-77;-77;-77;-77;2;-77;-77;-77;-77;6;-77;-77;6;7;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1
10;0;0;31;7015342;-77;262;0;-77;4;-77;4;-77;-77;-77;-77;-77;-77;-77;4;-77;-77;-77;-77;-77;7;4;-77;-77;7;-77;-77;-77;-77;-77;-77;3;-77;-77;-77;-77;1;-77;7;2;-77;5;-77;-77;-77;-77;3;-77;-77;-77;-77;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1
11;0;0;31;7015342;-77;300;0;-77;-77;-77;4;3;-77;-77;-77;-77;-77;-77;5;1;-77;-77;-77;-77;-77;2;-77;1;-77;-77;-77;-77;2;1;-77;-77;-77;-77;-77;1;-77;-77;-77;-77;-77;-77;-77;-77;3;-77;6;-77;-77;4;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;1;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1
12;0;0;31;7015342;-77;858;0;-77;4;-77;-77;-77;-77;-77;-77;-77;4;5;-77;-77;-77;-77;4;1;-77;-77;5;-77;-77;-77;-77;-77;1;-77;1;1;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;4;-77;5;-77;3;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1
